id,name,category,Emirate,description,opening_hours,closed_days,best_for,price_type
316,Museum of Illusions,museum_gallery,Dubai,"Interactive museum in Dubai featuring optical illusions, visual puzzles, holograms, and immersive exhibits.","Generally 10:00am-10:00pm weekdays and later on weekends, verify",None,"family, friends, couples, solo",variable
317,The View at The Palm,landmark,Sharjah,"Observation deck at the Palm Tower offering panoramic views of Palm Jumeirah, Dubai Marina, and the Arabian Gulf.","Generally 9:00am-7:30pm, verify current schedule",None,"family, friends, couples, solo",NA
318,Rain Room,museum_gallery,Sharjah,Immersive art installation in Sharjah where visitors walk through continuous artificial rainfall without getting wet.,"Generally Sat-Thu 9:00am-9:00pm, Fri 4:00pm-11:00pm","Sunday, verify","family, friends, couples, solo",free
319,Sharjah Science Museum,museum_gallery,Sharjah,"Interactive museum in Sharjah featuring hands-on exhibits designed to teach visitors about science, technology, and scientific principles.","Generally 8:00am-8:00pm, verify current schedule",None,"family, friends, solo",variable
320,Hanging Gardens Kalba,nature_outdoor,Sharjah,"Large landscaped mountain attraction in Kalba featuring gardens, walking paths, terraces, recreational areas, and scenic views.","Generally 8:00am-10:00pm, verify seasonal schedule",None,"family, friends, couples, solo",free
321,Sharjah Archeology Museum,museum_gallery,Sharjah,Museum in Sharjah displaying archaeological discoveries that illustrate the region's human history from ancient times onward.,"Generally 8:00am-8:00pm, Friday hours may differ","Friday morning, verify","family, friends, solo",free
322,Jais Flight,adventure_sports,Ras Al Khaimah,High-speed zipline attraction on Jebel Jais offering a long aerial ride above the mountains of Ras Al Khaimah.,"Seasonal sessions; winter generally 9:30am-4:00pm, summer limited scheduled flights",None,"friends, adventure, solo",free
323,Flamingo Beach RAK,beach_waterfront,Ras Al Khaimah,"Public beach in Ras Al Khaimah offering sandy shores, coastal views, and a relaxed seaside environment.",Generally 6:00am-8:00pm,None,"family, friends, couples, solo",free
324,Umbrella Beach,beach_waterfront,Fujairah,"Popular beachfront destination in Fujairah featuring a sandy shoreline, cafés, restaurants, walking areas, and views of the Gulf of Oman.",Open 24 hours; shops and restaurants have separate hours,None,"family, friends, couples, solo",free
325,Fujairah Adventure Park,adventure_sports,Fujairah,"Outdoor adventure facility in Fujairah offering activities such as biking, climbing, hiking, and other recreational sports.","Generally 9:00am-9:00pm, verify activity schedule",None,"family, friends, adventure, solo",free
326,Dibba Rock,nature_outdoor,Fujairah,Rocky offshore site near Dibba popular for snorkeling and scuba diving because of its marine life and clear waters.,Open access during daylight hours; diving trips operate by booking,None,"friends, couples, adventure, solo",free
327,Shark Island,nature_outdoor,Fujairah,"Small island near Khor Fakkan known for clear water, rocky scenery, snorkeling, diving, and marine wildlife.",Generally accessible during daylight hours; boat trips operate by schedule,None,"friends, couples, adventure, solo",free
328,Al Hayl Castle,heritage_culture,Fujairah,Historic fortified residence near Fujairah built in a mountainous area and associated with the region's traditional settlement history.,"Generally 8:00am-6:00pm, verify current access",None,"family, friends, adventure, solo",free
329,Sheikh Zayed Mosque Fujairah,heritage_culture,Fujairah,"Large mosque in Fujairah known for its white exterior, Ottoman-inspired architecture, domes, and tall minarets.",Generally open for visitors outside prayer times; verify daily prayer schedule,"Friday morning for non-worship visitors, verify","family, couples, solo",free
330,Ajman Marina Walk,beach_waterfront,Ajman,"Waterfront promenade in Ajman featuring marina views, restaurants, cafés, walking areas, and leisure facilities.",Open 24 hours; shops and restaurants have separate hours,None,"family, friends, couples, solo",free
331,Al Sarai Park,nature_outdoor,Ajman,"Public park in Ajman offering landscaped green spaces, children's play areas, walking paths, and family recreation.","Generally 8:00am-10:00pm, verify current schedule",None,"family, friends, solo",variable
332,Mangrove Beach UAQ,beach_waterfront,Umm Al Quwain,"Natural beach in Umm Al Quwain surrounded by mangroves and known for calm waters, coastal scenery, and a peaceful atmosphere.",Open 24 hours; best visited during daylight,None,"family, friends, couples, solo",variable
333,Atlantis The Royal,hotel_resort,Dubai,"Luxury beachfront resort on Palm Jumeirah featuring upscale accommodation, restaurants, pools, entertainment, and private beach facilities.",Open 24 hours for hotel guests; restaurants and attractions have separate hours,None,"family, couples, solo, business travel",paid
334,Armani Hotel Dubai,hotel_resort,Dubai,"Luxury hotel located inside Burj Khalifa, known for elegant interiors, premium dining, spa facilities, and central Downtown Dubai location.",Open 24 hours for hotel guests; facilities have separate hours,None,"couples, solo, business travel",variable
335,The Lana Dubai,hotel_resort,Dubai,"Luxury hotel overlooking the Dubai Water Canal featuring contemporary architecture, restaurants, wellness facilities, and city views.",Open 24 hours for hotel guests; facilities have separate hours,None,"couples, solo, business travel",paid
336,Park Hyatt Abu Dhabi,hotel_resort,Abu Dhabi,"Luxury beachfront resort on Saadiyat Island offering private beach access, restaurants, pools, spa facilities, and landscaped grounds.",Open 24 hours for hotel guests; beach and facilities have separate hours,None,"family, couples, solo, business travel",variable
337,Four Seasons Abu Dhabi,hotel_resort,Abu Dhabi,"Luxury waterfront hotel on Al Maryah Island featuring upscale rooms, restaurants, spa facilities, and views of Abu Dhabi.",Open 24 hours for hotel guests; restaurants and facilities have separate hours,None,"family, couples, solo, business travel",variable
338,Anantara Eastern Mongroves,hotel_resort,Abu Dhabi,"Luxury resort beside Abu Dhabi's mangroves offering waterfront accommodation, dining, spa facilities, and access to nature activities.",Open 24 hours for hotel guests; facilities and activities have separate hours,None,"family, couples, solo, business travel",free
339,Orfali Bros,restaurant_cafe,Dubai,Dubai restaurant known for creative Middle Eastern cuisine combining regional flavors with modern culinary techniques.,"Generally 12:00pm-11:30pm, verify current restaurant hours",None,"family, friends, couples, solo",variable
340,Cafe Milano,restaurant_cafe,Abu Dhabi,Italian restaurant at Four Seasons Abu Dhabi offering classic and contemporary Italian dishes in an upscale waterfront setting.,"Generally 12:00pm-11:30pm, verify current restaurant hours",None,"couples, solo, business travel",free
341,Hot Air Balloon Dubai,adventure_sports,Dubai,"Hot-air balloon experience offering aerial views of Dubai's desert landscape, dunes, and sunrise scenery.",Sunrise flights by advance booking; schedule varies seasonally,None,"couples, adventure, solo",free
342,Helicopter Tour Dubai,adventure_sports,Dubai,"Sightseeing experience offering aerial views of Dubai landmarks such as Palm Jumeirah, Burj Al Arab, and the city skyline.",Daytime sightseeing flights by booking; hours vary by operator and weather,None,"couples, adventure, solo",free
343,Jet Ski Jumeirah,adventure_sports,Dubai,Water-sports experience allowing visitors to ride personal watercraft along Dubai's Jumeirah coastline and view nearby landmarks.,Generally daytime hours by booking; schedule varies by operator,None,"friends, adventure, solo",variable
344,Kayaking Eastern Mangroves,adventure_sports,Abu Dhabi,"Guided kayaking experience through Abu Dhabi's mangrove waterways, offering close views of native vegetation and coastal wildlife.","Generally daytime hours, approximately 7:00am-6:00pm; booking recommended",None,"family, friends, couples, adventure, solo",variable
345,Al Jahili Fort,heritage_culture,Abu Dhabi,"Historic fort in Al Ain known for its distinctive architecture, landscaped grounds, exhibitions, and connection to Emirati history.","Generally 9:00am-7:00pm, verify current schedule",None,"family, friends, solo",variable
346,Qasr Al Muwaiji,heritage_culture,Abu Dhabi,Historic palace and museum in Al Ain associated with Sheikh Zayed bin Sultan Al Nahyan and the history of the UAE leadership.,"Generally 9:00am-7:00pm, verify current schedule",None,"family, friends, solo",free
347,Jebel Hafit Desert Park,nature_outdoor,Abu Dhabi,"Protected archaeological and natural landscape at the base of Jebel Hafit featuring desert scenery, ancient tombs, hiking, and camping.","Generally 8:00am-6:00pm, verify seasonal schedule",None,"family, friends, couples, adventure, solo",free
348,Green Mubazzarah,nature_outdoor,Abu Dhabi,"Green recreational area at the foot of Jebel Hafeet featuring hot springs, landscaped lawns, picnic areas, and mountain views.",Open 24 hours; recreational facilities may have separate hours,None,"family, friends, couples, solo",free
349,Al Wathba Fossil Dunes,nature_outdoor,Abu Dhabi,Protected desert site featuring naturally formed fossilized sand dunes shaped over thousands of years by wind and mineral deposits.,Generally accessible during daylight hours; verify reserve access,None,"family, friends, couples, adventure, solo",NA
350,Al Wathba Salt Lake,nature_outdoor,Abu Dhabi,Scenic salt lake in the Al Wathba desert area known for bright salt formations and surrounding desert landscapes.,Open 24 hours; best visited during daylight,None,"family, friends, couples, solo",NA
351,Sir Bani Yas Island,nature_outdoor,Abu Dhabi,"Large natural island in Abu Dhabi known for wildlife conservation, beaches, archaeological sites, and outdoor activities.",Accessible throughout the day; guided activities operate on schedules,None,"family, friends, couples, adventure, solo",NA
352,Arabian Wildlife Park,theme_entertainment,Abu Dhabi,"Wildlife reserve on Sir Bani Yas Island where animals such as Arabian oryx, gazelles, giraffes, and cheetahs roam in protected habitats.",Wildlife activities generally operate during daylight hours and by booking,None,"family, friends, couples, adventure, solo",NA
353,Dalma Museum,museum_gallery,Abu Dhabi,"Small museum on Delma Island presenting the island's history, pearling traditions, maritime heritage, and local culture.","Generally 9:00am-7:00pm, verify current schedule","Monday, verify","family, friends, solo",NA
354,Women's Handicraft Centre,heritage_culture,Abu Dhabi,"Cultural centre in Abu Dhabi showcasing traditional Emirati handicrafts, weaving, embroidery, and other heritage skills.","Generally 8:00am-8:00pm, verify current schedule",None,"family, friends, solo",NA
355,Al Ain Palace Museum,museum_gallery,Abu Dhabi,Historic residence in Al Ain converted into a museum showing the lifestyle of the UAE's ruling family before rapid modernization.,"Generally 9:00am-7:00pm, verify current schedule","Monday, verify","family, friends, solo",NA
356,Al Ain Camel Market,heritage_culture,Abu Dhabi,Traditional livestock market in Al Ain where visitors can observe the regional camel trade and local market culture.,Generally early morning to evening; livestock trading busiest in the morning,None,"family, friends, adventure, solo",NA
357,Souk Al Zafarana,shopping,Abu Dhabi,"Traditional-style market in Al Ain selling spices, incense, clothing, household products, and other local goods.","Generally 9:00am-11:00pm, verify current schedule",None,"family, friends, solo",variable
358,Al Qattara Arts Centre,museum_gallery,Abu Dhabi,"Cultural venue in Al Ain hosting art exhibitions, workshops, studios, archaeological displays, and community events.","Generally 9:00am-8:00pm, verify exhibition schedule",None,"family, friends, solo",variable
359,Al Qattara Souq,heritage_culture,Abu Dhabi,Traditional market in Al Ain featuring shops and cultural spaces reflecting the architecture and heritage of the region.,Generally morning to evening; shop hours vary,None,"family, friends, solo",variable
360,Al Hili Oasis,nature_outdoor,Abu Dhabi,"Historic oasis in Al Ain containing date palms, traditional irrigation channels, pathways, and agricultural landscapes.",Generally accessible during daylight hours,None,"family, friends, couples, solo",variable
361,Qaryat Al Torath Heritage Village,heritage_culture,Abu Dhabi,"Heritage attraction in Al Ain recreating elements of traditional Emirati village life, architecture, crafts, and cultural activities.","Generally 9:00am-9:00pm, verify current schedule",None,"family, friends, solo",free
362,Al Ain Raceway,adventure_sports,Abu Dhabi,Motor-racing and karting facility in Al Ain offering recreational and competitive karting experiences.,Generally afternoon and evening sessions; booking required,None,"friends, adventure, solo",free
363,Al Ain Adventure,adventure_sports,Abu Dhabi,"Outdoor adventure destination in Al Ain offering white-water rafting, kayaking, surfing, and other water-based activities.","Generally 9:00am-6:00pm, verify activity schedule",None,"family, friends, adventure, solo",variable
364,Marsana Hudayriyat,beach_waterfront,Abu Dhabi,"Waterfront recreation area on Hudayriyat Island featuring restaurants, beaches, sports facilities, and family entertainment.",Generally 8:00am-12:00am; individual venues vary,None,"family, friends, couples, solo",free
365,Marsa Mina,beach_waterfront,Abu Dhabi,"Colorful waterfront destination at Mina Zayed featuring restaurants, cafés, shops, and views of Abu Dhabi's port.",Generally 8:00am-12:00am; individual venues vary,None,"family, friends, couples, solo",free
366,Mina Zayed,beach_waterfront,Abu Dhabi,"Historic commercial port area in Abu Dhabi known for markets, fishing activity, traditional trading areas, and waterfront views.",Generally active from early morning to late evening; market hours vary,None,"family, friends, solo",free
367,Heritage Park Abu Dhabi,nature_outdoor,Abu Dhabi,"Public green space in Abu Dhabi featuring landscaped areas, walking paths, children's facilities, and recreational spaces.","Generally 8:00am-10:00pm, verify current schedule",None,"family, friends, couples, solo",free
368,Al Bateen Beach,beach_waterfront,Abu Dhabi,"Public beach in Abu Dhabi with calm waters, sandy shoreline, swimming areas, and views of Hudayriyat Island.",Generally sunrise to sunset,None,"family, friends, couples, solo",variable
369,Soul Beach Saadiyat Island,beach_waterfront,Abu Dhabi,"Beach club and public beach destination on Saadiyat Island known for white sand, clear water, and a relaxed coastal environment.","Generally 8:00am-6:00pm, verify beach schedule",None,"family, friends, couples, solo",free
370,Dubai Museum / Al Fahidi Fort,museum_gallery,Dubai,Historic fort in Dubai that traditionally housed the Dubai Museum and presented the emirate's heritage and development.,Temporarily closed as a conventional museum; Al Fahidi Fort access should be verified,"Temporarily closed, verify reopening","family, friends, solo",free
371,Etihad Museum,museum_gallery,Dubai,Museum in Dubai documenting the formation of the United Arab Emirates and the political events surrounding the 1971 union.,"Generally 10:00am-8:00pm, verify current schedule",None,"family, friends, solo",free
372,Jameel Arts Centre,museum_gallery,Dubai,"Contemporary art centre at Jaddaf Waterfront featuring exhibitions, commissions, educational programs, and cultural events.","Generally 10:00am-8:00pm, Friday hours may differ",None,"family, friends, couples, solo",free
373,Coffee Museum,museum_gallery,Dubai,"Small museum in Dubai's Al Fahidi area exploring coffee history, brewing traditions, equipment, and regional coffee culture.","Generally 9:00am-5:00pm, verify current schedule",None,"family, friends, solo",free
374,Coin Museum,museum_gallery,Dubai,Museum in Dubai displaying historic coins and currency associated with different periods of regional trade and Islamic history.,"Generally 8:00am-3:00pm, verify current schedule",None,"family, friends, solo",free
375,Perfume House,museum_gallery,Dubai,"Heritage museum in Dubai exploring Emirati perfume-making traditions, ingredients, techniques, and the cultural importance of fragrance.","Generally 10:00am-8:00pm, verify current schedule",None,"family, friends, solo",free
376,Saruq Al-Hadid Archaeology Museum,museum_gallery,Dubai,Archaeology museum presenting objects discovered at the ancient Saruq Al-Hadid site and explaining early metalworking and trade.,"Generally 8:00am-8:00pm, verify current schedule",None,"family, friends, solo",free
377,Sheikh Mohammed Centre for Cultural Understanding,heritage_culture,Dubai,"Cultural organisation in Al Fahidi offering heritage tours, traditional meals, and programs introducing visitors to Emirati culture.","Generally 8:00am-4:00pm, Friday hours may differ","Friday, verify","family, friends, solo",variable
378,Sheikh Saeed Al Maktoum House,heritage_culture,Dubai,Historic residence in Dubai associated with Sheikh Saeed Al Maktoum and the emirate's ruling family and early development.,"Generally 8:00am-8:30pm, verify current schedule",None,"family, friends, solo",variable
379,Heritage House Dubai,heritage_culture,Dubai,"Restored traditional Emirati house in Deira demonstrating historic domestic architecture, courtyards, rooms, and local lifestyles.","Generally 8:00am-7:30pm, verify current schedule",None,"family, friends, couples, solo",free
380,Hatta Hill Park,nature_outdoor,Dubai,"Hilltop public park in Hatta featuring landscaped areas, walking paths, playgrounds, picnic facilities, and mountain views.",Generally 8:00am-10:00pm,None,"family, friends, adventure, solo",free
381,Hatta Wadi Hub,adventure_sports,Dubai,"Outdoor adventure hub in Hatta offering mountain biking, hiking, kayaking, climbing, ziplining, and other recreational activities.","Generally 8:00am-6:00pm, activity hours vary",None,"family, friends, solo",free
382,Hatta Honey Bee Discovery Centre,nature_outdoor,Dubai,"Educational attraction in Hatta introducing visitors to beekeeping, honey production, bee habitats, and the importance of pollinators.","Generally 8:00am-5:00pm, guided visits may require booking",None,"friends, adventure, solo",free
383,Hatta Mountain Bike Trail Centre,adventure_sports,Dubai,Network of mountain biking trails in Hatta offering routes of different difficulty levels through rugged mountain landscapes.,Open 24 hours; biking recommended during daylight,None,"family, friends, adventure, solo",free
384,Mushrif National Park,nature_outdoor,Dubai,"Large public park in Dubai featuring natural ghaf woodland, cycling tracks, picnic areas, walking routes, and recreational facilities.",Open 24 hours; recreational facilities operate separate hours,None,"family, friends, couples, adventure, solo",variable
385,Ras Al Khor Wildlife Sanctuary,nature_outdoor,Dubai,"Protected wetland reserve in Dubai famous for migratory birds, particularly flamingos, and important coastal ecosystems.","Generally 7:30am-5:30pm, verify seasonal schedule",None,"family, friends, couples, solo",variable
386,Dubai Crocodile Park,theme_entertainment,Dubai,"Wildlife attraction in Dubai dedicated to crocodiles, featuring landscaped habitats and educational exhibits about their biology.","Generally 10:00am-8:00pm, verify current schedule",None,"family, friends, couples, solo",variable
387,Dubai Dolphinarium,theme_entertainment,Dubai,Indoor marine entertainment venue in Dubai featuring dolphin and seal performances and interactive animal experiences.,"Generally 10:00am-7:30pm, show schedules vary",None,"family, friends, solo",variable
388,Expo City Dubai,landmark,Dubai,"Mixed-use district developed from the Expo 2020 site, featuring exhibitions, cultural attractions, technology experiences, and public spaces.",Generally 9:00am-6:00pm; individual attractions vary,None,"family, friends, solo",variable
389,Al Wasl Plaza,landmark,Dubai,"Large domed plaza at Expo City Dubai featuring distinctive architecture, projection displays, performances, and major public events.",Open 24 hours; events and attractions have separate hours,None,"family, friends, couples, solo",free
390,Dubai Harbour,beach_waterfront,Dubai,"Modern waterfront and marina district in Dubai designed for yachts, cruises, restaurants, events, and coastal leisure.",Open 24 hours; marina businesses have separate hours,None,"family, friends, couples, solo, business travel",free
391,Dubai Water Canal,beach_waterfront,Dubai,"Artificial waterway running through Dubai with pedestrian paths, bridges, waterfront developments, and views of the city skyline.",Open 24 hours,None,"family, friends, couples, solo",free
392,Black Palace Beach,beach_waterfront,Dubai,Quiet public beach in Dubai offering sandy shoreline and prominent views of Palm Jumeirah and Burj Al Arab.,Open 24 hours,None,"family, friends, couples, solo",variable
393,Al Mamzar Beach Park,beach_waterfront,Dubai,"Large beachfront park in Dubai featuring several beaches, swimming areas, green spaces, picnic facilities, and cycling paths.","Generally 8:00am-10:00pm, swimming hours may be more limited",None,"family, friends, couples, solo",variable
394,Buhais Geological Park,museum_gallery,Sharjah,"Geological attraction in Sharjah explaining the region's prehistoric landscapes, fossils, rock formations, and ancient geological history.","Generally 9:00am-7:00pm, verify current schedule",None,"family, friends, solo",variable
395,Al Rafisah Dam,nature_outdoor,Sharjah,"Mountain reservoir near Khor Fakkan surrounded by dramatic scenery and offering kayaking, restaurants, playgrounds, and viewpoints.",Open 24 hours; kayaking and facilities operate limited hours,None,"family, friends, couples, adventure, solo",variable
396,Shees Park,nature_outdoor,Sharjah,"Mountain park near Khor Fakkan featuring landscaped terraces, walking paths, picnic areas, waterfalls, and scenic valley views.","Generally 7:30am-11:00pm, verify seasonal schedule",None,"family, friends, couples, solo",free
397,Wadi Shees,nature_outdoor,Sharjah,"Natural mountain valley near Khor Fakkan known for rocky scenery, traditional settlements, hiking routes, and agricultural landscapes.",Open 24 hours; best visited during daylight,None,"family, friends, couples, adventure, solo",free
398,Al Rabi Tower,heritage_culture,Sharjah,"Historic watchtower overlooking Khor Fakkan and the surrounding mountains, offering panoramic views of the town and coastline.",Open 24 hours,None,"family, friends, couples, adventure, solo",free
399,Al Rabi Hiking Trail,adventure_sports,Sharjah,"Popular mountain hiking route in Khor Fakkan leading to viewpoints overlooking the city, mountains, and Gulf of Oman.",Open 24 hours; hiking recommended during daylight,None,"family, friends, adventure, solo",free
400,Khorfakkan Amphitheatre,landmark,Sharjah,Large open-air amphitheatre in Khor Fakkan inspired by classical architecture and used for performances and cultural events.,"Generally 9:00am-11:00pm, event times vary",None,"family, friends, adventure, solo",free
401,Khorfakkan Waterfall,landmark,Sharjah,Artificial waterfall built into the mountainside beside Khorfakkan Amphitheatre and overlooking the coastal road.,Open 24 hours; waterfall lighting is best viewed in the evening,None,"family, friends, couples, solo",free
402,Khorfakkan Old Souq,heritage_culture,Sharjah,"Traditional market area in Khor Fakkan featuring heritage-inspired architecture, local shops, cafés, and cultural surroundings.",Generally 9:00am-10:00pm; individual shops vary,None,"family, friends, couples, solo",free
403,Kalba Bird of Prey Centre,theme_entertainment,Sharjah,Wildlife centre in Kalba dedicated to conserving and educating visitors about birds of prey native to the Arabian Peninsula.,"Generally 9:00am-6:00pm, verify current schedule",None,"family, friends, solo",free
404,Wasit Wetland Centre,nature_outdoor,Sharjah,"Protected wetland centre in Sharjah featuring birdwatching areas, walking routes, observation hides, and native wetland wildlife.","Generally 9:00am-6:30pm, verify seasonal schedule",None,"family, friends, solo",free
405,Islamic Botanical Garden,nature_outdoor,Sharjah,Botanical garden in Sharjah displaying plants mentioned in Islamic tradition alongside educational information about their uses and importance.,"Generally 9:00am-8:00pm, verify current schedule",None,"family, friends, couples, solo",free
406,Sharjah Natural History and Botanical Museum,museum_gallery,Sharjah,"Museum and botanical attraction explaining the natural history, geology, ecosystems, plants, and wildlife of the Arabian Peninsula.","Generally 9:00am-8:00pm, verify current schedule",None,"family, friends, solo",free
407,Sharjah Heritage Area,heritage_culture,Sharjah,"Historic district in Sharjah containing restored traditional buildings, museums, souks, and cultural attractions.",Generally 9:00am-8:00pm; heritage venues may have individual schedules,None,"family, friends, couples, adventure, solo",free
408,Mleiha National Park,nature_outdoor,Sharjah,"Protected archaeological and desert landscape around Mleiha known for fossils, ancient settlements, mountains, dunes, and outdoor activities.","Generally 8:00am-8:00pm, verify reserve access",None,"friends, couples, adventure, solo",free
409,Jais Sky Tour,adventure_sports,Ras Al Khaimah,Mountain zipline experience on Jebel Jais featuring multiple ziplines and suspended platforms across the rugged landscape.,"Seasonal scheduled sessions; typically daytime, advance booking required",None,"friends, adventure, solo",free
410,Jais Ropes Course,adventure_sports,Ras Al Khaimah,"Adventure course on Jebel Jais featuring rope obstacles, suspended challenges, and elevated mountain activities.","Seasonal scheduled sessions; generally daytime, advance booking required",None,"friends, adventure, solo",free
411,Bear Grylls Explorers Camp,adventure_sports,Ras Al Khaimah,"Mountain adventure camp on Jebel Jais offering climbing, hiking, survival activities, accommodation, and outdoor experiences.",Generally daytime sessions by advance booking,None,"friends, adventure, solo",free
412,Jais Via Ferrata,adventure_sports,Ras Al Khaimah,"Guided climbing route on Jebel Jais combining hiking, rock climbing, cables, ladders, and mountain views.",Generally daytime sessions by advance booking; weather dependent,None,"friends, couples, adventure, solo",free
413,Camp 1770,adventure_sports,Ras Al Khaimah,"High-altitude camping and outdoor experience in the Jebel Jais mountains offering hiking, stargazing, and scenic views.",Open 24 hours for camp guests; activities operate on scheduled sessions,None,"family, friends, couples, solo",free
414,Al Rams Beach,beach_waterfront,Ras Al Khaimah,Quiet public beach in the Al Rams area of Ras Al Khaimah featuring coastal scenery and views of nearby mountains.,Open 24 hours,None,"family, friends, couples, solo",free
415,Al Qawasim Corniche,beach_waterfront,Ras Al Khaimah,"Waterfront promenade in Ras Al Khaimah featuring walking areas, landscaped spaces, sea views, and recreational facilities.",Open 24 hours,None,"family, friends, adventure, solo",free
416,Tower Links Golf Club,adventure_sports,Ras Al Khaimah,"Golf course in Ras Al Khaimah featuring landscaped fairways, lakes, practice facilities, and views of the Hajar Mountains.","Generally 6:30am-10:00pm, verify current schedule",None,"family, friends, solo",free
417,Manama Museum,museum_gallery,Ajman,"Heritage museum in Manama, Ajman, displaying historical objects and information about the area's traditional lifestyle and local history.","Generally 8:00am-8:00pm, verify current schedule",None,"family, friends, solo",variable
418,Masfout Castle,heritage_culture,Ajman,Historic defensive structure in Ajman's Masfout region built on elevated terrain and associated with the area's local heritage.,"Generally 8:00am-8:00pm, verify current access",None,"family, friends, solo",variable
419,Hassa Buweid Castle,heritage_culture,Ajman,Historic watchtower or defensive structure in Ajman associated with traditional protection of settlements and agricultural areas.,"Generally daylight hours, verify access",None,"family, friends, couples, solo",variable
420,Dibba Fort,heritage_culture,Fujairah,"Historic fort in Dibba, Fujairah, representing the region's traditional defensive architecture and local heritage.","Generally 8:00am-8:00pm, verify current schedule",None,"family, friends, solo",free
421,Fiquet Beach,beach_waterfront,Fujairah,"Public beach in Fujairah offering sandy shoreline, sea views, swimming, and a relaxed coastal environment.",Open 24 hours,None,,free
422,Ain Al Madhab Park,nature_outdoor,Fujairah,"Landscaped park in Fujairah near natural mineral springs, featuring green spaces, walking areas, playgrounds, and mountain scenery.","Generally 8:00am-10:00pm, verify current schedule",None,,variable
